,,word,word,word,word,word,word,word,word,word,word,word,word
tag,,.,ADJ,ADP,ADV,CONJ,DET,NOUN,NUM,PRON,PRT,VERB,X
title,tagger,,,,,,,,,,,,
Descartes,perceptron,0.11688131331588872,0.06969316005671934,0.1283932930840411,0.06241320332714488,0.02669317467510635,0.11459353574926542,0.2030859414972152,0.01609484409490257,0.06179192187933984,0.027160963059336032,0.17227769087958836,0.0009209583814521905
Descartes,spacy,0.13492330168005845,0.06580715850986121,0.10577794010226442,0.05155588020452885,0.06165084002921841,0.08921840759678598,0.1839298758217677,0.013944485025566106,0.09307523739956172,0.031621621621621625,0.166691015339664,0.001804236669101534
Descartes,stanford,0.12945868696590546,0.06675270510689182,0.13575115933152507,0.06616210225449878,0.026956280806136438,0.11542275498002158,0.18132965847114066,0.0185274302213667,0.06254557120774637,0.02128357686586753,0.16655000437483594,0.009260069414063639
Essays_and_Reviews,perceptron,0.10470830764133666,0.0869555214018167,0.13002144323065737,0.06346920181485197,0.033181788899216816,0.11083757443009783,0.21624991947284625,0.008103332443700016,0.05797034760121113,0.028773502425017715,0.159544998573519,0.00018406206572856368
Essays_and_Reviews,spacy,0.12228645883162263,0.0843504129821732,0.11500175397834178,0.05348950574257065,0.06184026496462431,0.0874756834820798,0.19542052200217766,0.006697008214085585,0.08547569259365562,0.03093835563391511,0.15644575651135986,0.0005785850633937886
Essays_and_Reviews,stanford,0.11855975364207036,0.08376534042766424,0.13690904618300093,0.06711978061024608,0.0338651044561266,0.11107972922493828,0.1976193296221722,0.007839903789210907,0.058350568062755674,0.02335116026931732,0.15603276268916444,0.0055075210233329385
Ethics_and_the_Limits_of_Philosophy,perceptron,0.1066055282396921,0.0829420105703184,0.1250851702484209,0.05861554610242528,0.02953796291180966,0.11299559876986538,0.20512678857521685,0.012218477800489845,0.06251035854372687,0.030136456549361913,0.17395908145038028,0.0002670202382925437
Ethics_and_the_Limits_of_Philosophy,spacy,0.12066486560739961,0.08032419066807088,0.10763313338522826,0.045807958239846146,0.06049727551627822,0.08915243371949265,0.1878932185539631,0.01051330189111223,0.09167086405055176,0.034058336004395805,0.17130821008287925,0.0004762122807820871
Ethics_and_the_Limits_of_Philosophy,stanford,0.1183545518520888,0.08038056243545336,0.13158832722520267,0.06216584260215506,0.02993136349927342,0.11349241891113812,0.18912052057724119,0.012584881691144885,0.06299752323679136,0.024018205580485664,0.17156383377354525,0.003801968615480227
In_the_Beginning_Was_the_Deed,perceptron,0.10716191211360979,0.08551384363896425,0.1323177169063809,0.0627305854173525,0.029594396703408975,0.1182867716338786,0.20919276657093233,0.008320940845262286,0.05493183185569468,0.028254872801988854,0.16342191597325492,0.0002724455392718893
In_the_Beginning_Was_the_Deed,spacy,0.11882831019302405,0.08195055875380969,0.11624336832599616,0.05165368551755277,0.05973586183542161,0.09265154080596004,0.1931143469917598,0.006693757760469579,0.0849080031606276,0.030240433457500847,0.1627497460209956,0.0012303871768822665
In_the_Beginning_Was_the_Deed,stanford,0.11699007220216606,0.08174638989169675,0.14063628158844765,0.06656137184115524,0.030178249097472923,0.11881768953068592,0.19433664259927796,0.007874548736462093,0.05547157039711191,0.020250451263537906,0.16200361010830325,0.0051331227436823106
Making_Sense_of_Humanity,perceptron,0.11368353568137196,0.0804664022118043,0.12759546419842127,0.06259566454301399,0.02972312377288937,0.11869215049885803,0.19432624113475178,0.01125135232600072,0.05616861000921585,0.03675121208478583,0.1685939816484353,0.0001522618904515767
Making_Sense_of_Humanity,spacy,0.12062919071254978,0.08068333847895441,0.10919799558268221,0.049041727028760064,0.060726245042392005,0.09324657024564403,0.18634273002905297,0.00911962381551761,0.08671558964859366,0.033193214113251164,0.16860221182542887,0.0025015634771732333
Making_Sense_of_Humanity,stanford,0.11837722081218274,0.07876744923857867,0.13470019035532996,0.06572017766497462,0.02986992385786802,0.1199635152284264,0.187682423857868,0.010691624365482233,0.05685279187817259,0.02260469543147208,0.16858343908629442,0.006186548223350254
Moral_Luck,perceptron,0.11028233476671931,0.07589259980862569,0.13310891043451195,0.06182774005372315,0.02868309104114548,0.12164950830633725,0.19382990742555423,0.011078959200378137,0.057077967743051156,0.036245835302797985,0.16988506012151117,0.00043808579564450493
Moral_Luck,spacy,0.12021870372479782,0.07496297983825037,0.11257546417587425,0.05108782321448912,0.06120287048638797,0.09362114136006379,0.1842692789611573,0.00923795420890762,0.08957740061510423,0.033181455746668184,0.16751338421232487,0.0025515434559744846
Moral_Luck,stanford,0.1143423887641218,0.07314264868500553,0.14105267957911058,0.06576682360720026,0.028842098063133415,0.12200321481093036,0.18666423465839785,0.01061343608568269,0.05755879569990538,0.022458076357459614,0.1679339709755013,0.009621632713551227
Morality,perceptron,0.10891494861610239,0.08700586343862304,0.13369270537797112,0.06620011348590883,0.03259567492591892,0.11417943383141038,0.18677889162095707,0.007502679528403001,0.0572788600970935,0.03467624992119034,0.17022886324947986,0.0009457159069415548
Morality,spacy,0.12182440846824409,0.08655043586550436,0.1100560398505604,0.05762764632627646,0.06559775840597759,0.08714196762141968,0.1736612702366127,0.005354919053549191,0.08997509339975093,0.03188044831880448,0.16802615193026152,0.002303860523038605
Morality,stanford,0.11835002652188836,0.08574370495179257,0.13947393054385473,0.0712346719086399,0.03288714156447939,0.11354488439576897,0.1775718431152298,0.006022028768448313,0.0573184810758526,0.0223407906642953,0.16911604106212363,0.006396455427626447
