tag,title,group,is_essay,min,median,mean,max
.,Shame_and_Necessity,0,False,0.13661947625083246,0.13688900230735696,0.13777304390306291,0.13981065315099933
.,Shame_and_Necessity_2,2,False,0.13661947625083246,0.13688900230735696,0.13777304390306291,0.13981065315099933
.,The_Sense_of_the_Past_2,2,False,0.11620897789503137,0.13300539511266266,0.1281981129362612,0.1353799658010896
.,On_Opera_1,1,False,0.11611946854068299,0.1326995988790593,0.12896732774587127,0.1380829158178715
.,The_Sense_of_the_Past,0,False,0.11607956153668013,0.1317337469197843,0.1275544992124541,0.13485018918089783
.,Descartes,0,False,0.11688131331588872,0.12945868696590546,0.1270686167626677,0.13486585000620896
.,Descartes_1,1,False,0.11688131331588872,0.12945868696590546,0.1270686167626677,0.13486585000620896
.,The_Sense_of_the_Past_1,1,False,0.11584573161924021,0.12944303906015522,0.1263950852511627,0.13389648507409263
.,On_Opera,0,False,0.11217721775067555,0.1264775242697377,0.12351440806777174,0.13188848218290194
.,Truth_and_Truthfulness,0,False,0.11034276689290136,0.12456740088105726,0.12066580625102517,0.12708725097911688
.,Truth_and_Truthfulness_2,2,False,0.11034276689290136,0.12456740088105726,0.12066580625102517,0.12708725097911688
.,On_Opera_2,2,False,0.1107689893898684,0.12425373134328359,0.1215677431357674,0.12968050867415024
.,Philosophy_as_a_Humanistic_Discipline_1,1,False,0.10881721569978534,0.12199989496349982,0.1188693543189062,0.12579095229343346
.,Philosophy_as_a_Humanistic_Discipline,0,False,0.10781818824444209,0.11989802622933586,0.11673611368172465,0.12249212657139599
.,Philosophy_as_a_Humanistic_Discipline_2,2,False,0.1073184957382786,0.1188457240517978,0.11566702211102603,0.12083684654300168
.,Essays_and_Reviews_1,1,True,0.10562861548433986,0.11872864243553899,0.11586032426081172,0.1232237148625563
.,Essays_and_Reviews,0,True,0.10470830764133666,0.11855975364207036,0.11520076910318287,0.12233424602614158
.,In_the_Beginning_Was_the_Deed_2,2,False,0.10837104650865485,0.11845415046878573,0.11571502226398389,0.12031986981451111
.,Essays_and_Reviews_2,2,True,0.1038970034372592,0.11841043687237147,0.11461830780576791,0.12154748310767302
.,Making_Sense_of_Humanity,0,False,0.11368353568137196,0.11837722081218274,0.11757714648234323,0.12067068295347494
.,Making_Sense_of_Humanity_2,2,False,0.11368353568137196,0.11837722081218274,0.11757714648234323,0.12067068295347494
.,Ethics_and_the_Limits_of_Philosophy,0,False,0.1066055282396921,0.1183545518520888,0.1151895239558113,0.120608491775653
.,Ethics_and_the_Limits_of_Philosophy_2,2,False,0.1066055282396921,0.1183545518520888,0.1151895239558113,0.120608491775653
.,Morality,0,False,0.10891494861610239,0.11835002652188836,0.11635275011864117,0.12179327521793275
.,Morality_1,1,False,0.10891494861610239,0.11835002652188836,0.11635275011864117,0.12179327521793275
.,Problems_of_the_Self,0,False,0.11359427270531224,0.11759142269232158,0.11846254508075776,0.12420193984463948
.,Problems_of_the_Self_1,1,False,0.11359427270531224,0.11759142269232158,0.11846254508075776,0.12420193984463948
.,In_the_Beginning_Was_the_Deed,0,False,0.10716191211360979,0.11699007220216606,0.11434628874347642,0.11888688191465342
.,Moral_Luck,0,False,0.11028233476671931,0.1143423887641218,0.11480579960568392,0.11979267528621063
.,Moral_Luck_1,1,False,0.11028233476671931,0.1143423887641218,0.11480579960568392,0.11979267528621063
.,Utilitarianism_For_and_Against,0,False,0.10076818798011748,0.10630987088713036,0.10633505762428659,0.11192711400561195
.,Utilitarianism_For_and_Against_1,1,False,0.10076818798011748,0.10630987088713036,0.10633505762428659,0.11192711400561195
.,In_the_Beginning_Was_the_Deed_1,1,False,0.09757827540784274,0.10537981059842837,0.10349535044644524,0.10752796533306459
.,Obscenity_and_Film_Censorship,0,False,0.0822630995597043,0.08954665047561222,0.08767962836280911,0.09122913505311077
.,Obscenity_and_Film_Censorship_1,1,False,0.0822630995597043,0.08954665047561222,0.08767962836280911,0.09122913505311077
ADJ,Essays_and_Reviews_1,1,True,0.08624572848710779,0.087076797639385,0.08761798317823251,0.08953142340820476
ADJ,Morality,0,False,0.08574370495179257,0.08700586343862304,0.08686920025633198,0.08785803237858032
ADJ,Morality_1,1,False,0.08574370495179257,0.08700586343862304,0.08686920025633198,0.08785803237858032
ADJ,Utilitarianism_For_and_Against,0,False,0.083784534221852,0.08577268160875741,0.08511466673886015,0.08578678438597101
ADJ,Utilitarianism_For_and_Against_1,1,False,0.083784534221852,0.08577268160875741,0.08511466673886015,0.08578678438597101
ADJ,Essays_and_Reviews,0,True,0.08376534042766424,0.08457063194485574,0.08509716459144556,0.0869555214018167
ADJ,In_the_Beginning_Was_the_Deed_1,1,False,0.08344250730625818,0.0840217610316341,0.08520636552932276,0.08815482825007599
ADJ,Essays_and_Reviews_2,2,True,0.08157239721912282,0.08235385024855546,0.08287032111755477,0.08468471588498602
ADJ,In_the_Beginning_Was_the_Deed,0,False,0.08174638989169675,0.08206141341160533,0.08310721564742211,0.08551384363896425
ADJ,In_the_Beginning_Was_the_Deed_2,2,False,0.08145946083288869,0.08188718105190892,0.08284242720084135,0.08518063971772646
ADJ,Making_Sense_of_Humanity,0,False,0.07876744923857867,0.08042337257261378,0.07988574134099892,0.0804664022118043
ADJ,Making_Sense_of_Humanity_2,2,False,0.07876744923857867,0.08042337257261378,0.07988574134099892,0.0804664022118043
ADJ,Ethics_and_the_Limits_of_Philosophy,0,False,0.08032934022053706,0.08038056243545336,0.0812173044087696,0.0829420105703184
