lowercase_word,N
shame,227
assertion,179
deliberative,129
seq,121
collingwood,111
judgement,94
homeric,94
normative,94
dialogue,84
voluntary,79
supernatural,78
slaves,78
unjust,75
legitimation,74
dialogues,71
slave,71
agamemnon,67
herodotus,65
proposition,64
sufficient,62
hearer,61
conceptual,61
chap,60
theaetetus,57
ajax,54
beautiful,54
odysseus,53
thrasymachus,53
killed,52
oedipus,51
propositions,49
euripides,49
intuitions,49
convergence,48
poems,47
constraint,47
falsehood,47
factual,46
gorgias,45
judgements,44
norms,44
acquiring,44
callicles,43
normal,43
protagoras,42
leg,42
ayer,41
rescue,41
snell,41
epistemology,40
beauty,40
glaucon,40
father,40
evaluative,39
slope,38
meditations,37
anger,36
egoism,36
intuition,36
determinism,36
mcdowell,36
trustworthiness,35
programme,34
inherent,34
structured,34
deceive,34
kallias,33
prior,33
owe,33
caligari,33
roles,32
iliad,32
slippery,32
cesare,31
comparison,31
focussed,31
satisfy,31
deliberations,31
guardians,30
rarely,30
aeschylus,30
happenings,30
symposium,30
internalist,30
nozick,30
advice,30
meno,29
intuitionism,29
minos,29
hector,29
denial,29
davidson,29
convinced,29
cognitivism,28
incapacities,28
ascribed,28
nino,28
ibid,27
eyes,27
deploy,27
famously,27
omission,27
alternatively,27
impose,27
norm,27
hippolytus,27
indirect,27
phaedo,27
teleological,27
determination,27
odyssey,27
remarked,26
vii,26
prejudices,26
objectivism,26
burnyeat,26
somebody,26
indebted,26
transmission,26
cease,26
leibniz,25
categorical,25
encountered,25
confessions,25
dear,25
vlastos,25
cave,24
causality,24
violations,24
telemachus,24
duties,24
justifying,24
schema,24
generality,23
strict,23
greece,23
perform,23
deliberated,23
dreaming,23
retribution,23
california,23
adopted,22
professionals,22
battle,22
minimalist,22
commonsense,22
promote,22
unreflective,22
utterance,22
zeus,22
recognizable,22
intervene,22
label,22
spontaneous,22
birth,22
constituted,21
favourable,21
competition,21
highest,21
concentration,21
sophist,21
grice,21
eteocles,21
answerable,21
fine,21
perceptual,21
listeners,21
inevitable,21
