title,group,tag,lowercase_word,N
Descartes,0,NUM,two,137
Descartes,0,NUM,vii,124
Descartes,0,NUM,2,59
Descartes,0,NUM,iii,52
Descartes,0,NUM,ii,51
Descartes,0,NUM,1,46
Descartes,0,NUM,3,45
Descartes,0,NUM,5,44
Descartes,0,NUM,4,43
Descartes,0,NUM,7,40
Descartes,0,NUM,iv,40
Descartes,0,NUM,9,36
Descartes,0,NUM,6,30
Descartes,0,NUM,8,28
Descartes,0,NUM,10,27
Descartes,0,NUM,three,22
Descartes,0,NUM,15,19
Descartes,0,NUM,k,18
Descartes,0,NUM,14,17
Descartes,0,NUM,1640,12
Descartes,0,NUM,13,11
Descartes,0,NUM,1638,11
Descartes,0,NUM,1642,11
Descartes,0,NUM,1641,10
Descartes,0,PRON,it,2012
Descartes,0,PRON,which,1243
Descartes,0,PRON,he,1194
Descartes,0,PRON,i,1017
Descartes,0,PRON,we,933
Descartes,0,PRON,that,745
Descartes,0,PRON,his,655
Descartes,0,PRON,this,617
Descartes,0,PRON,what,538
Descartes,0,PRON,there,501
Descartes,0,PRON,one,259
Descartes,0,PRON,its,232
Descartes,0,PRON,they,218
Descartes,0,PRON,them,197
Descartes,0,PRON,my,190
Descartes,0,PRON,something,185
Descartes,0,PRON,him,163
Descartes,0,PRON,itself,158
Descartes,0,PRON,our,155
Descartes,0,PRON,who,143
Descartes,0,PRON,us,134
Descartes,0,PRON,himself,126
Descartes,0,PRON,me,102
Descartes,0,PRON,their,95
Descartes,0,PRON,themselves,41
Descartes,0,PRON,you,41
Descartes,0,PRT,to,3490
Descartes,0,PRT,not,1568
Descartes,0,PRT,’s,695
Descartes,0,PRT,out,100
Descartes,0,PRT,up,78
Descartes,0,PRT,ff,49
Descartes,0,PRT,pp,20
Descartes,0,PRT,on,14
Descartes,0,PRT,off,10
Descartes,0,PRT,down,9
Descartes,0,PRT,now,9
Descartes,0,PRT,s,8
Descartes,0,PRT,about,4
Descartes,0,PRT,aside,4
Descartes,0,PRT,away,4
Descartes,0,PRT,back,4
Descartes,0,PRT,like,4
Descartes,0,PRT,’,4
Descartes,0,PRT,in,3
Descartes,0,PRT,not-,3
Descartes,0,PRT,over,3
Descartes,0,PRT,yes,3
Descartes,0,PRT,behind,2
Descartes,0,PRT,no,2
Descartes,0,PRT,say,2
Descartes,0,PRT,‘,2
Descartes,0,PRT,along,1
Descartes,0,PRT,assent,1
Descartes,0,PRT,body.2,1
Descartes,0,PRT,cf,1
Descartes,0,PRT,effect’.22,1
Descartes,0,PRT,happens.11,1
Descartes,0,PRT,inasmuch,1
Descartes,0,PRT,open,1
Descartes,0,PRT,produces?7,1
Descartes,0,PRT,together,1
Descartes,0,PRT,withhold,1
Descartes,0,VERB,is,3212
Descartes,0,VERB,be,1514
Descartes,0,VERB,can,872
Descartes,0,VERB,have,699
Descartes,0,VERB,are,684
Descartes,0,VERB,will,441
Descartes,0,VERB,has,421
Descartes,0,VERB,was,405
Descartes,0,VERB,does,327
Descartes,0,VERB,would,297
